新北市立圖書館106年09月最新到館館藏清單,,,,,
序號,條碼號,書目資訊,館藏地,索書號,資料類型
86,A2141483,"讓體脂肪及癌細胞消失的生酮飲食 : 只要多吃好肉及大量蔬菜、菇類, 讓體內生酮, 再難治的病都有康復機會 / 齋藤糧三著 ; 葉廷昭譯臺北市 : 采實, 2017.04 初版",三重田中開架閱覽,411.3 7443,中文圖書
87,A2136459,Masa十大超級食物 : 防癌、抗老、熱量低又吃不胖的100道美味配方 / 山下勝文字.繪圖.內頁攝影臺北市 : 日日幸福出版 ; 2016.10 初版,三重東區開架閱覽,427.1 7638,中文圖書
88,A2578021,"大漠男兒 : 武士嵩回憶錄 / 武士嵩作 臺北市 : 黎明文化, 2017.01 初版",三重東區開架閱覽,783.3886 8345,中文圖書
89,A1274918,"生命之鎂 : 認識21世紀最耀眼的礦物質 / 馬克.史克斯(Mark Sircus)著 ; 游藝萱譯臺北市 : 一中心出版, 2017.08 初版",三重東區開架閱覽,399.24 8855,中文圖書
90,A2573015,"冰盒甜點 : 不用烤! 1攪2疊3冰, 80道美味蛋糕、塔派、餅乾、布丁、冰淇淋輕鬆完成! / 茱莉安.拜爾(Julianne Bayer)著 ; 何修瑜譯臺北市 : 馬可孛羅出版 : 2017.05 初版",三重東區開架閱覽,427.16 873,中文圖書
91,A2140306,"名師親授黃金配方!中式麵食點心 : 教你製作內餡、揉麵、蒸煎烤技巧, 品嘗經典原味與創新的五星級好味道! / 陳麒文著 ; 周禎和攝影臺北市 : 日日幸福出版 ; 2016.10 初版",三重東區開架閱覽,427.38 8726,中文圖書
92,A1273944,向高牆說不 / 黃益中著臺北市 : 寶瓶出版 ; 2017.04 初版,三重東區開架閱覽,528.3 8336,中文圖書
93,A2139968,"和平的指導者, 神的人 : 島國女子歐陸留學記, 一趟想法翻轉的內在和平旅程 / 太陽光著 ; 張嘉芬插畫臺北市 : 明人出版 : 2017.05 初版",三重東區開架閱覽,863.55 8366,中文圖書
94,A1274976,"拒踩裝潢地雷!資深工班主任親授關鍵施工100 :實戰30年的裝潢經驗,教你掌握工法/選材重點/安心監工不求人 / 張主任著臺北市 : 麥浩斯出版 : 2017.08 初版",三重東區開架閱覽,422.9 8736,中文圖書
95,A2134412,"黑心牙醫不告訴你的診療真相 : 資深牙醫良心告白, 戳破以賺錢為重的行銷話術與醫療道德亂象! / 斎藤正人作 ; 蔡麗蓉譯臺北市 : 采實, 2017.06 初版",三重東區開架閱覽,416.9 7444,中文圖書
